SITE_ID,SJV_REGION,EQ_AREA_CELL,LAT_DD,LONG_DD,COUNTY,SAMPLE_DATE,TDS,TDS_TYPE,CONDUCTIVITY,CA,MG,NA,K,CL,SO4,NO3-N,SIO2,HCO3,WELL_DEPTH_M,DTW_M,DTW_SOURCE,DBWT_M,TRIT_DATE,TRIT_2016_TU,TRIT_CAT,PCT_AG,PCT_NAT,PCT_URB,TDS_ION_MOD
370100120030001,NESJV-D,23,37.019806,-120.061917,MADERA,5/1/2008,209,LAB,na,16.59,4.97,23.52,2.87,21.28,3.54,1.03,80.72,92.38,225.55,33.81,MODEL,191.74,5/1/2008,0.086,PreMod,na,na,na,ION
370800120310001,NESJV-D,19,37.13713889,-120.5312778,MERCED,6/11/2006,212,CALC,320,na,na,na,na,na,na,na,na,na,144.78,22.62,MODEL,122.16,6/11/2006,0.33,Mod,na,na,na,TDS
365400120070001,NESJV-D,22,36.90166667,-120.1263056,MADERA,12/2/2013,212,LAB,na,21.54,7.44,21.63,3.79,14.81,15.25,1.3,68.73,114.61,85.34,20.11,MODEL,65.23,12/2/2013,3.921,Mod,na,na,na,ION
380946120554401,NESJV-D,6,38.162803,-120.929056,CALAVERAS,6/30/2010,212,LAB,na,13.66,2.99,30.38,4.32,15.75,26.6,0.04,76.54,79.84,118.87,37.87,MEASURED,81,6/30/2010,-0.034,PreMod,na,na,na,ION
374446121010101,NESJV-D,8,37.74613889,-121.0168333,STANISLAUS,3/20/2006,212,CALC,321,na,na,na,na,na,na,na,na,na,82.6,6.82,MODEL,75.78,3/20/2006,2.777,Mod,na,na,na,TDS
375944121200503,NESJV-D,4,37.995608,-121.3347,SAN JOAQUIN,7/12/2006,213,LAB,na,4.66,2.12,63.59,1.65,5.59,1,0.06,42.85,173.87,79.25,7.84,MODEL,71.41,7/12/2006,-0.018,PreMod,na,na,na,ION
374600121120001,NESJV-D,2,37.77322222,-121.2089444,SAN JOAQUIN,1/4/2005,214,CALC,323,na,na,na,na,na,na,na,na,na,103.63,2.62,MODEL,101.01,1/4/2005,0.169,PreMod,na,na,na,TDS
373200120270001,NESJV-D,16,37.537667,-120.453917,MERCED,4/20/2006,219,LAB,na,15.26,5.99,23.4,3.78,10.32,15.99,3.31,74.3,91.29,115.82,29.68,MODEL,86.15,4/20/2006,0,PreMod,na,na,na,ION
373948120551001,NESJV-D,8,37.6635,-120.919556,STANISLAUS,10/7/2002,219,LAB,na,35.8,7.65,23.66,3.73,13.65,8.34,3.6,37.05,145.69,78.64,15.33,MEASURED,63.31,na,na,na,na,na,na,ION_MOD
370400120280001,NESJV-D,19,37.080361,-120.47475,MADERA,5/8/2008,220,LAB,na,24.25,3.11,27.98,1.81,25.16,4.39,1.56,56.61,106.43,99.06,22.86,MODEL,76.2,5/8/2008,0.11,PreMod,na,na,na,ION
372300120420001,NESJV-D,12,37.392389,-120.704694,MERCED,3/29/2006,220,LAB,na,17.37,3.89,31.02,8.63,6.48,21.65,5.33,51.47,102.64,90.83,10.68,MODEL,80.15,3/29/2006,3.004,Mod,na,na,na,ION
380738120555601,NESJV-D,6,38.127344,-120.932264,CALAVERAS,6/28/2010,220,LAB,na,2.96,0.79,42.86,1.82,13.26,12.46,1.91,97.61,78.68,132.59,43.08,MEASURED,89.51,6/28/2010,0.014,PreMod,na,na,na,ION_MOD
374500121000001,NESJV-D,8,37.75422222,-121.0110833,SAN JOAQUIN,1/11/2005,222,CALC,335,na,na,na,na,na,na,na,na,na,na,na,na,na,1/11/2005,4.497,Mod,na,na,na,TDS
370300119590001,NESJV-D,24,37.05575,-119.9849444,MADERA,3/15/2011,222,LAB,na,19.42,6.6,23.3,1.78,13.77,6.94,3.22,74.12,110.61,106.68,29.99,MODEL,76.69,3/15/2011,0.175,PreMod,na,na,na,ION
371400120190001,NESJV-D,18,37.23358333,-120.3245278,MERCED,4/6/2006,222,CALC,336,na,na,na,na,na,na,na,na,na,na,na,na,na,4/6/2006,0.955,Mod,na,na,na,TDS
365700120090001,NESJV-D,23,36.96608333,-120.1562222,MADERA,12/11/2013,223,LAB,na,24.29,8.07,24.07,3.4,13.28,8.33,4.56,65.54,129.7,121.92,21.14,MODEL,100.78,12/11/2013,5.068,Mod,na,na,na,ION_MOD
375808121132301,NESJV-D,3,37.96911111,-121.2241667,SAN JOAQUIN,2/8/2005,224,LAB,na,26.29,12.46,15.31,5.72,6.18,12.1,na,66.22,154.58,127.71,16.05,MODEL,111.66,2/8/2005,2.767,Mod,na,na,na,ION
372100120360001,NESJV-D,12,37.360139,-120.601194,MERCED,3/30/2006,231,LAB,na,15.17,3.76,36.48,10.16,9.98,12.16,3.37,58.44,122.97,156.97,10.34,MODEL,146.63,3/30/2006,0.923,Mod,na,na,na,ION_MOD
370000119530001,NESJV-D,23,37.00508333,-119.8881944,MADERA,12/10/2013,231,LAB,na,13.44,3.98,39.98,2.49,31.83,7.41,5.09,75.42,85.9,86.87,22.94,MODEL,63.93,12/10/2013,0.235,Mod,na,na,na,ION
380026121204403,NESJV-D,4,38.0071,-121.3456,SAN JOAQUIN,4/28/2004,232,LAB,na,17.8,5.98,49.5,3.96,10.03,0.96,0.06,45.05,193.58,62.18,7.83,MEASURED,54.35,na,na,na,na,na,na,ION
373500120510001,NESJV-D,9,37.598611,-120.853667,STANISLAUS,1/28/2010,232,LAB,na,7.02,2.86,58.29,1.55,14.92,1.09,0.44,46.01,183.55,140.21,11.36,MODEL,128.85,1/28/2010,0.013,PreMod,na,na,na,ION_MOD
373726120451101,NESJV-D,14,37.62380556,-120.7540556,STANISLAUS,3/22/2006,233,CALC,352,na,na,na,na,na,na,na,na,na,101.19,20.4,MODEL,80.79,3/22/2006,4.624,Mod,na,na,na,TDS
370056120200601,NESJV-D,19,37.01138889,-120.3361667,MADERA,3/16/2011,233,LAB,na,34.27,8.77,18.74,3.08,14.9,5.75,2.02,71.47,160.1,89.61,15.82,MODEL,73.79,3/16/2011,2.362,Mod,na,na,na,ION
374251121045501,NESJV-D,1,37.71408333,-121.0819722,STANISLAUS,3/20/2006,234,CALC,354,na,na,na,na,na,na,na,na,na,84.12,6.45,MODEL,77.68,3/20/2006,0.895,Mod,na,na,na,TDS
380004121160603,NESJV-D,4,38.001194,-121.268361,SAN JOAQUIN,2/3/2005,235,LAB,na,27.43,15.73,15.29,4.72,5.73,20.09,1.06,68.79,156.77,65.53,14.87,MODEL,50.66,2/3/2005,5.649,Mod,na,na,na,ION
380800121220001,NESJV-D,5,38.14691667,-121.3728056,SAN JOAQUIN,2/18/2014,236,LAB,na,28.06,11.8,32.24,2.08,12.75,13.73,0.04,50.67,198.99,64.62,10.08,MODEL,54.54,2/18/2014,0.731,Mod,na,na,na,ION
370100120060001,NESJV-D,24,37.033,-120.1138889,MADERA,12/11/2013,238,LAB,na,23.62,8.79,24.67,3.33,17.82,6,2.7,79.62,136.31,124.66,30.06,MODEL,94.6,12/11/2013,0.483,Mod,na,na,na,ION
371700120420001,NESJV-D,12,37.28761111,-120.713,STANISLAUS,4/3/2006,241,CALC,364,na,na,na,na,na,na,na,na,na,81.69,3.79,MODEL,77.9,4/3/2006,0.319,Mod,na,na,na,TDS
371928120263301,NESJV-D,17,37.324385,-120.443522,MERCED,9/2/1993,242,LAB,na,15,6.7,26,3,7.7,9.1,4.3,65,109.46,76.5,5.24,MODEL,71.26,na,na,na,na,na,na,ION
370600120090001,NESJV-D,24,37.103194,-120.15175,MADERA,4/22/2008,243,LAB,na,24.13,6.31,22.7,4.52,33.86,7.78,0.54,71.23,111.9,243.84,37.81,MODEL,206.03,4/22/2008,0.195,Mod,na,na,na,ION_MOD
380003121160701,NESJV-D,4,38.000806,-121.268667,SAN JOAQUIN,1/28/2005,243,LAB,na,31.29,18.13,14.33,6.03,6.92,16.12,1.37,64.09,183.53,158.5,14.87,MODEL,143.63,1/28/2005,1.458,Mod,na,na,na,ION
365700119470001,NESJV-D,23,36.966333,-119.795111,MADERA,5/7/2008,246,LAB,na,18.7,7.1,21.71,1.87,10.09,2.87,5.43,86.3,114.51,97.54,20.96,MODEL,76.58,5/7/2008,0.012,PreMod,na,na,na,ION
374032120565101,NESJV-D,8,37.675722,-120.947639,STANISLAUS,12/11/2002,249,LAB,na,38.16,9.03,26.63,2.78,4.98,6,2.26,44.99,179.69,73.46,12.8,MEASURED,60.66,na,na,na,na,na,na,ION
380302121203201,NESJV-D,4,38.050556,-121.342306,SAN JOAQUIN,1/13/2014,254,LAB,na,42.79,12.71,18.66,4.54,15.98,17.03,0.7,49.6,193.93,107.9,8.96,MODEL,98.94,1/13/2014,1.561,Mod,na,na,na,ION_MOD
373828120444001,NESJV-D,14,37.641167,-120.7455,STANISLAUS,1/26/2010,254,LAB,na,22.14,14.36,18.39,3.95,11.37,10.35,3.99,68.4,157.65,91.44,18.23,MODEL,73.21,1/26/2010,2.679,Mod,na,na,na,ION_MOD
380209121164101,NESJV-D,4,38.035833,-121.278111,SAN JOAQUIN,5/27/2005,254,LAB,na,3.88,1.76,76.29,4.58,9.95,0.34,0.06,56.22,206.86,193.55,19.94,MEASURED,173.6,5/27/2005,0.078,PreMod,na,na,na,ION
372100120340001,NESJV-D,12,37.366111,-120.576361,MERCED,1/27/2010,255,LAB,na,11.85,2.19,41.57,12.39,19.54,9.27,1.11,72.92,135.25,222.5,24.01,MEASURED,198.49,1/27/2010,-0.043,PreMod,na,na,na,ION
370500120080001,NESJV-D,24,37.094778,-120.147472,MADERA,4/24/2008,257,LAB,na,25.06,6.12,25.22,4.12,33.78,11.01,1,69.43,114.53,234.7,36.54,MODEL,198.16,4/24/2008,0.012,PreMod,na,na,na,ION
380419120555101,NESJV-D,6,38.071867,-120.931883,SAN JOAQUIN,1/11/2005,257,LAB,na,37.63,15.91,12.03,2.42,9.5,27.88,3.31,53.28,158.5,100.58,14.58,MODEL,86.01,1/11/2005,2.384,Mod,na,na,na,ION
365800119430001,NESJV-D,23,36.977722,-119.728083,FRESNO,4/17/2008,261,LAB,na,32.78,3.29,42.86,4.36,21.75,22.46,4.18,29.52,159.79,94.49,16.92,MODEL,77.56,4/17/2008,1.105,Mod,na,na,na,ION
374511121104101,NESJV-D,2,37.753014,-121.179383,SAN JOAQUIN,7/7/2014,263,LAB,na,33.12,10.16,20.3,3.88,6.71,17.48,12.11,59.82,118.97,60.96,6.13,MEASURED,54.83,7/7/2014,2.889,Mod,na,na,na,ION
